fun	freq
c	15.226
length	15.031
paste	14.442
list	13.94
return	13.895
stop	13.877
names	13.573
is.null	13.534
cat	13.425
setMethod	13.217
rep	12.88
colnames	12.744
nrow	12.645
which	12.635
sum	12.568
is.na	12.545
as.character	12.528
matrix	12.511
as.integer	12.482
rownames	12.231
ncol	12.226
dim	12.22
sapply	12.203
setGeneric	12.196
standardGeneric	12.171
unlist	12.169
max	12.107
get	12.042
missing	12.037
as.numeric	11.992
lapply	11.958
signature	11.949
new	11.925
print	11.894
unique	11.758
apply	11.744
any	11.648
data.frame	11.647
cbind	11.589
seq	11.566
min	11.543
class	11.455
par	11.326
assign	11.221
all	11.213
as.matrix	11.21
abs	11.2
warning	11.114
as.vector	11.042
plot	11.035
is	11.011
grep	10.945
as.double	10.936
file.path	10.929
match	10.926
round	10.926
order	10.905
sqrt	10.899
sprintf	10.864
log	10.798
require	10.786
message	10.775
mean	10.708
strsplit	10.701
setClass	10.615
vector	10.588
attr	10.576
ifelse	10.553
rbind	10.545
nchar	10.539
.Call	10.533
gsub	10.476
sort	10.388
do.call	10.385
setReplaceMethod	10.38
exp	10.313
log2	10.305
dimnames	10.257
character	10.25
representation	10.192
match.arg	10.162
library	10.16
rm	10.151
invisible	10.15
factor	10.106
range	10.062
is.numeric	10.057
write.table	10.046
is.character	10.003
abline	9.994
as	9.977
switch	9.94
eval	9.889
as.list	9.884
lines	9.883
levels	9.872
stopifnot	9.793
system.file	9.793
numeric	9.776
as.data.frame	9.76
integer	9.741
rowSums	9.725
points	9.723
sample	9.719
substr	9.714
text	9.693
table	9.688
try	9.664
diag	9.64
dev.off	9.624
sub	9.611
split	9.545
intersect	9.537
seq_len	9.526
inherits	9.449
axis	9.435
slot	9.435
options	9.428
array	9.422
file.exists	9.416
ceiling	9.392
data	9.377
floor	9.36
identical	9.342
setdiff	9.281
read.csv	9.281
median	9.278
exists	9.276
read.table	9.253
as.factor	9.248
close	9.238
is.element	9.236
.C	9.209
sQuote	9.182
isGeneric	9.18
validObject	9.175
start	9.16
diff	9.142
on.exit	9.082
rev	9.074
is.list	9.063
writeLines	9.028
is.matrix	8.994
duplicated	8.986
new.env	8.972
write	8.954
double	8.954
row.names	8.88
legend	8.852
quantile	8.849
gc	8.814
setAs	8.807
readLines	8.771
hist	8.762
ls	8.762
rowMeans	8.755
end	8.707
cumsum	8.679
format	8.679
getwd	8.662
save	8.64
structure	8.633
append	8.6
parse	8.562
is.finite	8.551
colSums	8.539
mtext	8.539
log10	8.531
boxplot	8.527
tolower	8.52
substitute	8.52
pdf	8.512
getOption	8.504
is.logical	8.504
summary	8.496
callNextMethod	8.484
prototype	8.476
png	8.476
layout	8.468
load	8.464
mget	8.447
basename	8.422
rep.int	8.409
is.vector	8.409
crossprod	8.349
file	8.344
as.logical	8.308
title	8.304
I	8.295
subset	8.295
seq_along	8.285
is.integer	8.276
image	8.271
rank	8.253
density	8.214
sd	8.17
getGeneric	8.155
predict	8.14
is.data.frame	8.124
open	8.119
match.call	8.114
runif	8.114
substring	8.055
dir.create	8.05
scan	8.039
setwd	8.033
proc.time	8.028
tapply	8
rnorm	7.954
toupper	7.943
is.factor	7.901
prod	7.87
callGeneric	7.858
emptyenv	7.833
head	7.801
system	7.781
mapply	7.775
var	7.768
which.max	7.755
nlevels	7.748
tempfile	7.741
suppressWarnings	7.741
deparse	7.741
cor	7.728
model.matrix	7.721
with	7.721
attributes	7.714
lm	7.707
tryCatch	7.693
mode	7.651
date	7.637
unlink	7.629
sign	7.622
signif	7.607
interactive	7.6
parent.frame	7.585
formals	7.577
source	7.57
dir	7.57
sweep	7.57
Sys.time	7.555
solve	7.547
colMeans	7.539
readBin	7.539
scale	7.531
dnorm	7.524
pnorm	7.508
show	7.508
pmax	7.492
outer	7.492
set.seed	7.492
unname	7.484
stderr	7.484
merge	7.459
segments	7.451
rgb	7.443
rect	7.401
regexpr	7.392
dist	7.366
union	7.322
pmin	7.304
as.name	7.295
qnorm	7.257
mad	7.248
read.delim	7.19
is.infinite	7.18
barplot	7.14
colorRampPalette	7.119
is.function	7.087
environment	7.087
box	7.087
rainbow	7.087
flush.console	7.066
call	7.044
which.min	7.033
trunc	7.022
na.omit	7
download.file	7
approx	7
col2rgb	6.977
list.files	6.977
str	6.977
UseMethod	6.977
pchisq	6.966
system.time	6.943
sink	6.919
plot.new	6.919
hclust	6.907
filter	6.895
window	6.883
expression	6.87
coef	6.858
p.adjust	6.845
cut	6.845
is.double	6.845
dirname	6.833
drop	6.794
tail	6.781
is.nan	6.781
gregexpr	6.781
setValidity	6.768
logical	6.755
polygon	6.741
strwrap	6.728
args	6.714
.path.package	6.672
pmatch	6.629
all.equal	6.629
asinh	6.629
nargs	6.615
as.formula	6.615
writeBin	6.615
alist	6.57
packageStartupMessage	6.539
storage.mode	6.539
capture.output	6.524
seek	6.524
readline	6.492
.Deprecated	6.476
Sys.sleep	6.476
NROW	6.476
.subset2	6.476
pt	6.443
conditionMessage	6.443
cos	6.443
slotNames	6.426
lgamma	6.392
search	6.375
grepl	6.375
col	6.358
initialize	6.358
sin	6.358
setOldClass	6.358
sort.list	6.304
dev.new	6.304
suppressMessages	6.285
objects	6.267
isTRUE	6.248
upper.tri	6.248
terms	6.248
unclass	6.248
Sys.getenv	6.248
gray	6.229
packageDescription	6.209
Sys.info	6.209
typeof	6.19
matplot	6.19
row	6.17
x11	6.17
formatC	6.15
sessionInfo	6.15
loess	6.129
as.call	6.109
.Defunct	6.109
choose	6.087
dev.cur	6.087
svd	6.087
file.remove	6.066
lowess	6.066
chol	6.066
heat.colors	6.044
as.raw	6.044
NCOL	6.044
setClassUnion	6.044
file.access	6.022
setequal	6.022
help	6.022
getClass	6.022
screen	6.022
gettext	6.022
pretty	6
as.symbol	6
file.info	5.977
C	5.977
eigen	5.954
update	5.954
lower.tri	5.931
as.array	5.931
toString	5.907
gamma	5.907
smooth.spline	5.883
expand.grid	5.883
attach	5.883
fitted	5.883
gettextf	5.883
aggregate	5.858
tempdir	5.833
eapply	5.807
.subset	5.807
local	5.781
globalenv	5.781
X11	5.781
match.fun	5.755
setTxtProgressBar	5.755
force	5.728
write.csv	5.728
as.dendrogram	5.728
cov	5.728
pf	5.672
as.dist	5.672
browser	5.672
formula	5.672
replicate	5.644
file.copy	5.615
pairs	5.615
heatmap	5.615
complete.cases	5.615
isOpen	5.615
chol2inv	5.615
optim	5.585
postscript	5.555
asS4	5.555
Re	5.555
det	5.555
detach	5.524
hasArg	5.524
tabulate	5.492
data.matrix	5.492
browseURL	5.459
qchisq	5.459
order.dendrogram	5.459
dnbinom	5.459
q	5.426
jpeg	5.426
xtabs	5.426
shQuote	5.392
split.screen	5.392
alias	5.358
is.unsorted	5.358
textConnection	5.358
cutree	5.358
library.dynam	5.358
make.names	5.358
findInterval	5.358
selectMethod	5.358
chartr	5.322
t.test	5.322
combn	5.322
url	5.322
smoothScatter	5.322
as.real	5.322
all.vars	5.322
strwidth	5.285
gzfile	5.285
extends	5.248
simpleMessage	5.248
body	5.248
IQR	5.248
digamma	5.248
integrate	5.248
.packages	5.248
palette	5.248
sys.parent	5.209
path.expand	5.209
data.class	5.209
kmeans	5.209
arrows	5.209
topenv	5.209
labels	5.209
prcomp	5.209
qr	5.209
writeChar	5.17
aperm	5.129
remove	5.087
library.dynam.unload	5.087
is.environment	5.087
ecdf	5.087
txtProgressBar	5.087
sys.call	5.044
list2env	5.044
cor.test	5.044
tcrossprod	5.044
quote	5.044
is.array	5.044
Recall	5
menu	5
identify	5
nzchar	5
resid	5
is.loaded	5
reorder	5
getMethod	5
model.response	5
.libPaths	5
raw	5
make.unique	4.954
model.frame	4.954
wilcox.test	4.907
.Fortran	4.907
real	4.907
coefficients	4.907
loadedNamespaces	4.907
fitted.values	4.907
replace	4.907
readChar	4.907
dput	4.907
qqnorm	4.858
as.environment	4.858
Filter	4.858
na.exclude	4.858
phyper	4.807
install.packages	4.807
by	4.807
glm	4.807
plot.window	4.807
weighted.mean	4.807
qt	4.807
trim	4.807
dget	4.807
difftime	4.807
is.atomic	4.755
single	4.755
densCols	4.755
assignInNamespace	4.755
optimize	4.7
installed.packages	4.7
loess.control	4.7
capabilities	4.7
rchisq	4.7
transform	4.7
Map	4.7
rug	4.644
curve	4.644
approxfun	4.644
contour	4.644
loadings	4.644
.Internal	4.585
strheight	4.585
anyDuplicated	4.585
within	4.585
units	4.585
as.Date	4.585
pgamma	4.524
pmin.int	4.524
bitmap	4.524
binomial	4.524
agrep	4.524
hsv	4.459
dbinom	4.459
as.expression	4.459
charToRaw	4.459
sequence	4.392
locator	4.392
setIs	4.392
trigamma	4.392
dQuote	4.392
spline	4.392
iconv	4.392
rawToChar	4.392
ppoints	4.322
getNamespace	4.322
topo.colors	4.322
norm	4.322
seq.int	4.322
residuals	4.322
Sys.Date	4.322
rbinom	4.322
dev.copy	4.322
qf	4.322
mahalanobis	4.322
qqline	4.248
symbols	4.248
rle	4.248
xor	4.248
dev.interactive	4.248
dev.set	4.248
pmax.int	4.248
object.size	4.248
anova	4.248
cummax	4.248
time	4.17
autoload	4.17
lfactorial	4.17
jitter	4.17
dgamma	4.17
devAskNewPage	4.087
weights	4.087
terrain.colors	4.087
uniroot	4.087
as.complex	4.087
simulate	4.087
charmatch	4.087
matlines	4.087
cov2cor	4.087
noquote	4.087
asNamespace	4
frame	4
kronecker	4
quit	4
.find.package	4
Reduce	4
.External	4
fft	4
runmed	4
max.col	4
unique.default	4
isS4	3.907
grey	3.907
atan	3.907
zip.file.extract	3.907
grid	3.907
factorial	3.907
close.screen	3.907
is.complex	3.907
isSymmetric	3.907
trace	3.907
as.single	3.907
logb	3.907
rgb2hsv	3.807
available.packages	3.807
qr.Q	3.807
graphics.off	3.807
Sys.setenv	3.807
dyn.load	3.807
split.data.frame	3.807
dev.control	3.807
offset	3.807
lm.wfit	3.807
backsolve	3.807
removeClass	3.807
chisq.test	3.7
pbeta	3.7
fisher.test	3.7
dunif	3.7
getSlots	3.7
rnbinom	3.7
lm.fit	3.7
model.weights	3.7
nlm	3.7
dev.print	3.7
stripchart	3.7
package_version	3.7
rowsum	3.7
isClass	3.585
interaction	3.585
compareVersion	3.585
evalq	3.585
relist	3.585
as.POSIXct	3.585
atan2	3.585
eval.parent	3.585
print.default	3.585
ks.test	3.459
file.rename	3.459
contrasts	3.459
glm.fit	3.459
rgamma	3.459
sys.frame	3.459
cbind.data.frame	3.459
citation	3.459
dt	3.459
kernel	3.459
sort.int	3.459
parent.env	3.322
quartz	3.322
unzip	3.322
convolve	3.322
logLik	3.322
sinh	3.322
La.svd	3.322
dbeta	3.322
colors	3.322
qbeta	3.322
hat	3.322
df	3.322
xy.coords	3.322
Gamma	3.322
baseenv	3.322
complex	3.322
abbreviate	3.322
format.pval	3.17
pie	3.17
axTicks	3.17
cmdscale	3.17
qgamma	3.17
plot.default	3.17
kruskal.test	3.17
rawShift	3.17
model.offset	3.17
Sweave	3.17
is.expression	3.17
file.create	3.17
getClassDef	3.17
lchoose	3.17
read.dcf	3
sys.function	3
contr.sum	3
unz	3
nobs	3
dpois	3
bquote	3
medpolish	3
Sys.getlocale	3
bxp	3
nls	3
reg.finalizer	3
lockEnvironment	3
effects	3
commandArgs	3
as.table	3
bmp	3
D	3
qhyper	3
prop.table	3
unix.time	3
getNativeSymbolInfo	3
getRversion	3
methods	2.807
save.image	2.807
removeMethod	2.807
family	2.807
history	2.807
qr.coef	2.807
pbinom	2.807
normalizePath	2.807
rexp	2.807
is.pairlist	2.807
vignette	2.807
contrib.url	2.807
is.raw	2.807
rbind2	2.807
Axis	2.807
is.call	2.807
optimise	2.807
dchisq	2.807
cummin	2.807
poly	2.807
geterrmessage	2.807
rt	2.807
withCallingHandlers	2.807
mat.or.vec	2.807
pwilcox	2.807
step	2.585
stdout	2.585
strtrim	2.585
URLencode	2.585
gl	2.585
Sys.setlocale	2.585
binom.test	2.585
dhyper	2.585
modifyList	2.585
Rprof	2.585
layout.show	2.585
rbind.data.frame	2.585
tanh	2.585
line	2.585
comment	2.585
example	2.585
cbind2	2.585
getFunction	2.585
colorRamp	2.585
demo	2.585
setRefClass	2.585
file.show	2.585
determinant	2.585
embed	2.585
princomp	2.585
casefold	2.585
nextn	2.585
is.leaf	2.585
Im	2.585
numeric_version	2.585
extendrange	2.322
page	2.322
pnbinom	2.322
rpois	2.322
qqplot	2.322
dotchart	2.322
confint	2.322
edit	2.322
asin	2.322
erase.screen	2.322
pipe	2.322
NextMethod	2.322
traceback	2.322
cm.colors	2.322
R.Version	2.322
yinch	2.322
as.hclust	2.322
summary.factor	2.322
contr.treatment	2.322
biplot	2.322
cumprod	2.322
contourLines	2.322
select.list	2.322
sys.nframe	2.322
file.choose	2.322
frequency	2.322
qr.qty	2.322
matchSignature	2.322
df.residual	2.322
debug	2
unsplit	2
utf8ToInt	2
sample.int	2
power	2
splinefun	2
warnings	2
showMethods	2
sys.frames	2
tan	2
rect.hclust	2
lsfit	2
kappa	2
qr.solve	2
aov	2
find	2
psigamma	2
xinch	2
loadNamespace	2
ppois	2
nlminb	2
format.Date	2
Stangle	2
rlnorm	2
stack	2
getFromNamespace	2
SSlogis	2
rmultinom	2
is.recursive	2
lockBinding	2
qr.resid	2
model.extract	2
smoothEnds	2
dmultinom	2
psignrank	2
hasMethod	2
memory.size	2
R.home	1.585
namespaceExport	1.585
format.hexmode	1.585
existsMethod	1.585
simpleError	1.585
read.fwf	1.585
poisson	1.585
qunif	1.585
smooth	1.585
.Primitive	1.585
is.object	1.585
getExportedValue	1.585
acos	1.585
rapply	1.585
type.convert	1.585
recordPlot	1.585
replayPlot	1.585
AIC	1.585
environmentIsLocked	1.585
plogis	1.585
savePlot	1.585
Conj	1.585
cancor	1.585
acf	1.585
.readRDS	1.585
toBibtex	1.585
pushBack	1.585
bw.SJ	1.585
plclust	1.585
persp	1.585
.hasSlot	1.585
BIC	1.585
unstack	1.585
is.ordered	1.585
oldClass	1.585
strtoi	1.585
write.dcf	1.585
getAllSuperClasses	1.585
Negate	1.585
setNames	1.585
dev.list	1.585
stepfun	1.585
getMethods	1.585
unlockBinding	1.585
Find	1.585
is.real	1.585
Position	1.585
makeActiveBinding	1.585
suppressPackageStartupMessages	1.585
glm.control	1.585
el	1.585
.set_row_names	1.585
power.t.test	1.585
hcl	1.585
bindingIsLocked	1.585
grconvertY	1
print.data.frame	1
Sys.getpid	1
profile	1
ftable	1
droplevels	1
Sys.glob	1
filled.contour	1
is.language	1
rawToBits	1
isVirtualClass	1
CRAN.packages	1
bzfile	1
screeplot	1
relevel	1
atanh	1
ts	1
help.start	1
forwardsolve	1
ansari.test	1
fivenum	1
addmargins	1
supsmu	1
summary.matrix	1
matpoints	1
reshape	1
slice.index	1
delete.response	1
intToUtf8	1
is.empty.model	1
packageVersion	1
dfbetas	1
rf	1
stem	1
dexp	1
qexp	1
fix	1
RSiteSearch	1
ar	1
sunflowerplot	1
getCRANmirrors	1
count.fields	1
deviance	1
rstandard	1
rstudent	1
convertColor	1
ps.options	1
untrace	1
isClassDef	1
serialize	1
as.POSIXlt	1
is.name	1
delayedAssign	1
dendrapply	1
flush	1
isClassUnion	1
sys.calls	1
strptime	1
coplot	1
plot.xy	1
n2mfrow	1
dev.size	1
as.function	1
diff.default	1
dwilcox	1
dsignrank	1
intToBits	1
gzcon	1
na.fail	1
setHook	1
packageEvent	1
file.symlink	1
getGroup	1
dev.next	1
removeGeneric	1
rematchDefinition	0
bw.nrd0	0
findMethodSignatures	0
environmentName	0
make.socket	0
write.socket	0
read.socket	0
simpleWarning	0
merge.data.frame	0
Sys.unsetenv	0
dev.prev	0
Sys.chmod	0
update.packages	0
qr.R	0
preplot	0
Vectorize	0
package.contents	0
textConnectionValue	0
RNGkind	0
duplicated.array	0
dump	0
summaryRprof	0
acosh	0
cosh	0
file_test	0
vapply	0
.saveRDS	0
co.intervals	0
upgrade	0
summary.lm	0
na.action	0
URLdecode	0
influence.measures	0
conditionCall	0
methodSignatureMatrix	0
aggregate.data.frame	0
showConnections	0
diffinv	0
.checkMFClasses	0
boxplot.stats	0
prompt	0
formatDL	0
predict.lm	0
rbeta	0
browseEnv	0
arima0	0
is.table	0
old.packages	0
isSymmetric.matrix	0
pairs.default	0
panel.smooth	0
as.data.frame.table	0
parseNamespaceFile	0
RNGversion	0
rgeom	0
beta	0
invokeRestart	0
as.raster	0
chull	0
findFunction	0
isSeekable	0
.getXlevels	0
selfStart	0
sortedXyData	0
deriv3	0
linearizeMlist	0
contr.helmert	0
toLatex	0
conflicts	0
getAnywhere	0
symnum	0
pdf.options	0
as.ordered	0
plot.density	0
isoreg	0
var.test	0
aggregate.ts	0
packageSlot	0
format.info	0
encodeString	0
loess.smooth	0
coerce	0
qr.qy	0
nls.control	0
zapsmall	0
pexp	0
localeToCharset	0
RweaveLatexSetup	0
RweaveLatexOptions	0
RweaveLatexFinish	0
makeRweaveLatexCodeRunner	0
qbinom	0
showDefault	0
terms.formula	0
nclass.Sturges	0
glob2rx	0
subset.data.frame	0
qwilcox	0
qsignrank	0
memory.limit	0
socketConnection	0
prettyNum	0
Summary	0
deriv	0
ngettext	0
allNames	0
is.symbol	0
split.default	0
category	0
manglePackageName	0
gray.colors	0
getClasses	0
is.package_version	0
.row_names_info	0
browseVignettes	0
besselK	0
bw.nrd	0
factanal	0
cov.wt	0
