fun	freq
c	38336
length	33491
paste	22251
list	15721
return	15236
stop	15041
names	12186
is.null	11861
cat	11002
setMethod	9520
rep	7540
colnames	6859
nrow	6404
which	6359
sum	6071
is.na	5976
as.character	5906
matrix	5836
as.integer	5720
rownames	4808
ncol	4789
dim	4771
sapply	4716
setGeneric	4692
standardGeneric	4610
unlist	4606
max	4412
get	4217
missing	4203
as.numeric	4074
lapply	3979
signature	3955
new	3889
print	3807
unique	3464
apply	3431
any	3210
data.frame	3206
cbind	3080
seq	3031
min	2983
class	2808
par	2567
assign	2387
all	2374
as.matrix	2369
abs	2352
warning	2217
as.vector	2109
plot	2098
is	2064
grep	1971
as.double	1959
file.path	1949
match	1946
round	1945
order	1918
sqrt	1909
sprintf	1864
log	1781
require	1766
message	1752
mean	1673
strsplit	1665
setClass	1568
vector	1539
attr	1526
ifelse	1502
rbind	1494
nchar	1488
.Call	1482
gsub	1424
sort	1340
do.call	1337
setReplaceMethod	1333
exp	1272
log2	1265
dimnames	1224
character	1218
representation	1170
match.arg	1146
library	1144
rm	1137
invisible	1136
factor	1102
range	1069
is.numeric	1065
write.table	1057
is.character	1026
abline	1020
as	1008
switch	982
eval	948
as.list	945
lines	944
levels	937
stopifnot	887
system.file	887
numeric	877
as.data.frame	867
integer	856
rowSums	846
points	845
sample	843
substr	840
text	828
table	825
try	811
diag	798
dev.off	789
sub	782
split	747
intersect	743
seq_len	737
inherits	699
axis	692
slot	692
options	689
array	686
file.exists	683
ceiling	672
data	665
floor	657
identical	649
setdiff	622
read.csv	622
median	621
exists	620
read.table	610
as.factor	608
close	604
is.element	603
.C	592
sQuote	581
isGeneric	580
validObject	578
start	572
diff	565
on.exit	542
rev	539
is.list	535
writeLines	522
is.matrix	510
duplicated	507
new.env	502
write	496
double	496
row.names	471
legend	462
quantile	461
gc	450
setAs	448
readLines	437
hist	434
ls	434
rowMeans	432
end	418
cumsum	410
format	410
getwd	405
save	399
structure	397
append	388
parse	378
is.finite	375
colSums	372
mtext	372
log10	370
boxplot	369
tolower	367
substitute	367
pdf	365
getOption	363
is.logical	363
summary	361
callNextMethod	358
prototype	356
png	356
layout	354
load	353
mget	349
basename	343
rep.int	340
is.vector	340
crossprod	326
file	325
as.logical	317
title	316
I	314
subset	314
seq_along	312
is.integer	310
image	309
rank	305
density	297
sd	288
getGeneric	285
predict	282
is.data.frame	279
open	278
match.call	277
runif	277
substring	266
dir.create	265
scan	263
setwd	262
proc.time	261
tapply	256
rnorm	248
toupper	246
is.factor	239
prod	234
callGeneric	232
emptyenv	228
head	223
system	220
mapply	219
var	218
which.max	216
nlevels	215
tempfile	214
suppressWarnings	214
deparse	214
cor	212
model.matrix	211
with	211
attributes	210
lm	209
tryCatch	207
mode	201
date	199
unlink	198
sign	197
signif	195
interactive	194
parent.frame	192
formals	191
source	190
dir	190
